p1                                    p2      rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
input.sumstats.gz  ret_cam_2016.txt.sumstats.gz -0.0926  0.0468 -1.9795  0.0478  0.1641     0.0206  1.0193     0.0503    0.0047       0.0062
input.sumstats.gz  ret_p_cam_2016.txt.sumstats.gz -0.0929  0.0458 -2.0265  0.0427  0.1639     0.0202  1.0134     0.0501    0.0028       0.0061
input.sumstats.gz  sbp_ukb_v1_2016.txt.sumstats.gz -0.0099  0.0502 -0.1978  0.8432  0.1254      0.008   1.016     0.0091    0.0012       0.0052
input.sumstats.gz  scz_pgc_2014.txt.sumstats.gz -0.0139  0.0341 -0.4076  0.6835  0.2396     0.0088   1.048     0.0116    -0.015       0.0063
input.sumstats.gz  t2d_diagram_2017.txt.sumstats.gz -0.1209  0.0525 -2.3041  0.0212   0.077      0.006   1.001     0.0111    -0.009       0.0052
input.sumstats.gz  tg_glgc_2013.txt.sumstats.gz -0.0499  0.0377 -1.3251  0.1851  0.2748     0.0584  0.7427     0.0363   -0.0104       0.0052
input.sumstats.gz  uc_iibdgc_2015.txt.sumstats.gz  0.0108  0.0679  0.1588  0.8738  0.2401     0.0323  1.0542     0.0111   -0.0005       0.0059
input.sumstats.gz  ukbEUR_SI_cojo.txt.sumstats.gz -0.0374  0.0401 -0.9335  0.3506  0.0994     0.0037  1.0303     0.0134    0.0037       0.0064
input.sumstats.gz  wbc_cam_2016.txt.sumstats.gz  0.0034  0.042  0.0814  0.9352  0.1782     0.0178  0.9528     0.0237   -0.0048       0.0057
input.sumstats.gz  well_being_ssgac_2016.txt.sumstats.gz  0.0853  0.0634  1.3438  0.179  0.0358     0.0031  1.0053     0.0079    0.0172       0.0055
input.sumstats.gz  well_being_ssgac_2016_pruned.txt.sumstats.gz  0.5886  0.3855  1.5268  0.1268  0.1711     0.0201   7.296     0.0802     0.029       0.0889
input.sumstats.gz  whr_giant_2015.txt.sumstats.gz -0.0634  0.047 -1.3474  0.1779  0.1045     0.0066  0.8235     0.0089   -0.0277       0.0053
input.sumstats.gz  whradjbmi_giant_2015.txt.sumstats.gz -0.0913  0.0494 -1.8464  0.0648  0.0936     0.0078  0.8512     0.0103   -0.0268       0.0053
